grid_id,kmeans_cluster
687,4
688,4
720,4
726,4
778,4
802,4
812,4
817,4
852,4
893,4
903,4
906,4
907,4
944,4
995,4
997,4
998,4
1036,4
1037,4
1128,4
1166,4
1219,4
1231,4
1242,4
1243,4
1244,4
1310,4
1322,4
1333,4
1354,4
1402,4
1444,4
1445,4
1493,4
1504,4
1536,4
1572,4
1584,4
1595,4
1663,4
1673,4
1674,4
1685,4
1754,4
1762,4
1763,4
1776,4
1846,4
1853,4
1862,4
1863,4
1864,4
1865,4
1866,4
1867,4
1935,4
1936,4
1937,4
1942,4
1943,4
1944,4
1953,4
2025,4
2026,4
2027,4
2028,4
2031,4
2032,4
2033,4
2043,4
2114,4
2115,4
2118,4
2120,4
2121,4
2122,4
2123,4
2124,4
2132,4
2133,4
2134,4
2159,4
2203,4
2204,4
2208,4
2209,4
2210,4
2211,4
2212,4
2213,4
2214,4
2223,4
2224,4
2225,4
2244,4
2253,4
2294,4
2297,4
2299,4
2300,4
2301,4
2302,4
2303,4
2304,4
2305,4
2316,4
2336,4
2338,4
2383,4
2384,4
2388,4
2389,4
2390,4
2391,4
2392,4
2393,4
2394,4
2407,4
2427,4
2428,4
2444,4
2447,4
2474,4
2479,4
2480,4
2481,4
2482,4
2483,4
2484,4
2498,4
2499,4
2536,4
2574,4
2577,4
2578,4
2589,4
2590,4
2628,4
2665,4
2666,4
2668,4
2669,4
2680,4
2681,4
2682,4
2720,4
2757,4
2773,4
2810,4
2811,4
2849,4
2850,4
2864,4
2955,4
781,5
813,5
814,5
828,5
829,5
873,5
904,5
905,5
918,5
919,5
920,5
923,5
924,5
925,5
964,5
965,5
966,5
968,5
1002,5
1003,5
1006,5
1007,5
1008,5
1009,5
1010,5
1011,5
1012,5
1013,5
1014,5
1015,5
1016,5
1059,5
1060,5
1061,5
1090,5
1094,5
1095,5
1097,5
1098,5
1099,5
1100,5
1101,5
1102,5
1103,5
1104,5
1150,5
1151,5
1153,5
1154,5
1177,5
1181,5
1185,5
1186,5
1188,5
1189,5
1190,5
1191,5
1192,5
1193,5
1194,5
1195,5
1241,5
1267,5
1268,5
1269,5
1276,5
1277,5
1278,5
1279,5
1281,5
1282,5
1283,5
1284,5
1285,5
1343,5
1344,5
1364,5
1366,5
1367,5
1368,5
1369,5
1370,5
1371,5
1372,5
1373,5
1375,5
1376,5
1424,5
1425,5
1434,5
1435,5
1437,5
1453,5
1455,5
1457,5
1458,5
1459,5
1462,5
1463,5
1464,5
1466,5
1467,5
1513,5
1514,5
1515,5
1516,5
1519,5
1520,5
1543,5
1545,5
1546,5
1549,5
1550,5
1553,5
1554,5
1610,5
1611,5
1633,5
1636,5
1637,5
1639,5
1640,5
1641,5
1643,5
1644,5
1695,5
1697,5
1702,5
1725,5
1726,5
1727,5
1728,5
1730,5
1731,5
1734,5
1735,5
1786,5
1787,5
1792,5
1793,5
1816,5
1817,5
1818,5
1825,5
1826,5
1878,5
1883,5
1884,5
1903,5
1904,5
1905,5
1906,5
1907,5
1908,5
1909,5
1916,5
1969,5
1974,5
1979,5
1991,5
1992,5
1993,5
1994,5
1995,5
1996,5
1997,5
1998,5
1999,5
2000,5
2059,5
2065,5
2082,5
2083,5
2084,5
2085,5
2086,5
2088,5
2089,5
2090,5
2091,5
2156,5
2157,5
2161,5
2167,5
2174,5
2175,5
2179,5
2180,5
2181,5
2187,5
2190,5
2191,5
2240,5
2258,5
2266,5
2271,5
2272,5
2280,5
2281,5
2282,5
2330,5
2348,5
2357,5
2362,5
2368,5
2369,5
2370,5
2371,5
2372,5
2373,5
2421,5
2458,5
2459,5
2460,5
2538,5
2549,5
2629,5
2876,5
967,6
994,6
1056,6
1057,6
1085,6
1087,6
1088,6
1089,6
1093,6
1147,6
1148,6
1152,6
1167,6
1175,6
1176,6
1178,6
1179,6
1180,6
1182,6
1184,6
1239,6
1258,6
1259,6
1265,6
1266,6
1270,6
1271,6
1273,6
1275,6
1330,6
1331,6
1332,6
1350,6
1351,6
1355,6
1356,6
1357,6
1358,6
1359,6
1360,6
1361,6
1362,6
1421,6
1422,6
1423,6
1438,6
1439,6
1440,6
1441,6
1442,6
1443,6
1446,6
1447,6
1448,6
1449,6
1450,6
1451,6
1452,6
1512,6
1527,6
1528,6
1529,6
1530,6
1531,6
1532,6
1533,6
1534,6
1535,6
1539,6
1540,6
1541,6
1542,6
1603,6
1606,6
1607,6
1617,6
1618,6
1619,6
1620,6
1621,6
1622,6
1623,6
1624,6
1625,6
1626,6
1629,6
1630,6
1631,6
1632,6
1694,6
1708,6
1710,6
1713,6
1714,6
1715,6
1716,6
1717,6
1718,6
1719,6
1720,6
1721,6
1722,6
1798,6
1799,6
1801,6
1802,6
1805,6
1806,6
1807,6
1808,6
1809,6
1885,6
1886,6
1889,6
1890,6
1892,6
1893,6
1894,6
1896,6
1897,6
1898,6
1899,6
1975,6
1976,6
1977,6
1980,6
1981,6
1982,6
1983,6
1984,6
1985,6
1986,6
1987,6
1988,6
1990,6
2061,6
2066,6
2068,6
2070,6
2071,6
2072,6
2073,6
2075,6
2076,6
2077,6
2078,6
2079,6
2151,6
2152,6
2162,6
2163,6
2166,6
2168,6
2169,6
2170,6
2257,6
2259,6
2260,6
2349,6
2350,6
2351,6
2441,6
2442,6
2443,6
2533,6
2534,6
2535,6
2625,6
2626,6
2627,6
2717,6
2718,6
2719,6
